id,name,description,studycredit,location,contact_id,level,learningoutcomes,module_tags,interests_match_score,popularity_score,estimated_difficulty,available_spots,start_date
159,kennismaking met psychologie,in deze module leer je hoe je gedrag van jezelf en van anderen kunt begrijpen en beinvloeden je maakt kennis met de basistheorie van psychologie aan bod komen onderwerpen die te maken hebben met cognitieve biologische en ontwikkelingspsychologie,15,['Den Bosch'],58,NLQF5,a je beantwoordt vragen in een meerkeuze kennistoets waarin je laat zien dat je de basis van de psychologie kunt reproduceren en begrijpt je laat zien dat je gedrag van individuen en groepen in hun sociale omgeving kunt analyseren aan de hand van casuistiek b je houdt een kort interview met een medestudent waarin je laat zien dat je mbv literatuur ui de psychologie vragen kunt stellen in termen van alledaags gedrag om de beschermende en risicofactoren in kaart te brengen de communicatievaardigheden bezit om een interiew te houden met een volwassene inclusief een professionele opening en afsluiting,brein gedragsbeinvloeding ontwikkelingspsychologie gespreksvoering en ontwikkelingsfasen,0.54,0.638,1,79,2025-12-24
160,learning and working abroad,studenten kiezen binnen de stam van de opleiding van verpleegkunde steeds vaker voor een stage in het buitenland waarbij zij de beroepsprestaties graag in een internationale stagecontext willen behalen binnen de opleiding verpleegkunde is het nodig om uren stage te lopen om de big registratie te behalen deze stage maakt het mogelijk om naast de verplichte stage uren een extra stage ervaring op te doen waarbij meer focus en ruimte is voor persoonlijke ontwikkeling in de internationale context zou ook voor een student social work kunnen gelden internationale stagecontext fysiotherapie,15,['Den Bosch'],58,NLQF5,de student toont professioneel gedrag conform de beroepscode bij laagcomplexe zorgvragers en collegas in de zorgsetting,internationaal persoonlijke ontwikkeling verpleegkunde,0.92,0.344,5,56,2025-12-20
161,proactieve zorgplanning,het jeroen bosch ziekenhuis wil graag samen met de opleiding verpleegkunde een module ontwikkelen waarin de studenten de mogelijkheid krijgen om zich te verdiepen in de ziekenhuissetting jbz staat er open voor om hier een interdisciplinaire insteek voor te kiezen zodat deze module bijvoorbeeld ook aantrekkelijk is voor andere opleidingen denk aan social work proactieve zorgplanning is een verdiepend thema waarbij ook kansen liggen om dit interdisciplinair aan te vliegen,15,['Den Bosch'],59,NLQF5,de student past pro actieve zorgplanning toe binnen het proces van het klinisch redeneren bij casuïstiek over zorgvragers multidisciplinair in de ziekenhuissetting,proactieve zorgplanning cocreatie ziekenhuis,0.78,0.434,5,55,2025-09-23
162,rouw en verlies,in deze module wordt stil gestaan bij rouw en verlies vanuit diverse invalshoeken waaronder de palliatieve zorg themas zoals oncologie kunnen hier een plaats krijgen werkveld verpleegkunde vraagt om keuzemodule oncologie en kunnen interdisciplinair uitgelicht worden waarbij duidelijk wordt hoe de verschillende disciplines samen een bijdrage kunnen leveren in de palliatieve benaderingswijze maar ook vanuit het perspectief van verlies in algemene zin na scheiding van ouders vluchten uit je heimat overlijden lichamelijke functioneren vriendschappenrelaties gericht op volwassenen maar ook op jaar waarin rouw een betekenis heeft voor de ontwikkeling vanuit het werkveld verpleegkunde ligt er een behoefte aan een module waarin aandacht is voor de zorg rondom oncologie,30,['Den Bosch'],58,NLQF6,de student regisseert en voert deels zelfstandig en in samenwerkingsverband het palliatieve proces uit bij hoogmiddencomplexe zorgvragers in de zorgsetting op basis van het proces van palliatief redeneren de student begrijpt analyseert en past complexe concepten en benaderingen van rouw en verlies toe in verschillende contexten op individueel en groepsniveau kan interventies ontwerpen en implementeren om de veerkracht en het welzijn van individuen te bevorderen tijdens het rouwproces de student reflecteert kritisch op eigen waarden en houdingen in relatie tot het begeleiden van anderen bij rouw en verlies,rouw verlies palliatieve zorg redeneren trauma culturele diversiteit,0.69,0.908,1,54,2025-10-25
163,acuut complexe zorg,in deze module kunnen studenten zich verdiepen in de acuut complexe zorg binnen het verpleegkundig vakgebied,30,['Den Bosch'],58,NLQF6,de student regisseert en voert deels zelfstandig en in samenwerkingsverband het verpleegkundige proces uit bij hoogmiddencomplexe zorgvragers in de actue en complexe zorgsetting op basis van de beroepscode van verpleegkundigen en verzorgenden geldende visie op verplegen en het proces van klinisch redeneren,acute zorg complexiteit ziekenhuis revalidatie,0.4,0.356,5,38,2025-11-19
164,kraam kind en jeugd,in deze module kunnen studenten zich verdiepen in de kraam kind en jeugdzorg binnen het verpleegkundig vakgebied,30,['Den Bosch'],58,NLQF6,de student regisseert en voert deels zelfstandig en in samenwerkingsverband het verpleegkundige proces uit bij hoogmiddencomplexe zorgvragers in de kraam kind en jeugd zorgsetting op basis van de beroepscode van verpleegkundigen en verzorgenden geldende visie op verplegen en het proces van klinisch redeneren,jeugdzorg neonatologie verloskunde kindzorg,0.4,0.986,5,39,2025-12-04
165,profiel specifieke modulen welzijn samenleving jeugd zorg,profiel specifieke modulen welzijn samenleving jeugd zorg,15,"['Breda', 'Den Bosch']",58,NLQF5,,jeugdzorg geestelijke gezondheidzorg rechtvaardige democratische gemeenschappen,0.34,0.34,5,76,2025-11-14
166,happy city happy people design lab,focus op de grote vraagstukken sdg gestuurd op concrete plekken in onze regio dat vormt de agenda gezond en duurzaam samenleven in een veilige omgeving fysiek toegerust voor een divers samengestelde bevolking,15,['Den Bosch'],58,NLQF5,,vitale gemeenschappen duurzaam gebouwde omgeving innovatief creatief collectief sdg gestuurd aandacht voor positieve gezondheid in de brede betekenis,0.86,0.154,3,37,2025-12-27
167,building sustaining vital communities,je bedenkt en ontwerpt samen met relevante stakeholders voor een wijk buurt innovatieve oplossingsrichtingen voor een complex vraagstuk rond wonen veilig leven gezond leven bestaansvoorwaarden ecologische footprint vanuit beleid bestuur welzijn icm built environment,30,['Den Bosch'],58,NLQF6,,vitale gemeenschappen duurzaam gebouwde omgeving innovatief creatief collectief sdg gestuurd,0.69,0.596,4,66,2025-09-16
168,ggz agoog,je bent state of the art in kennis handelingsrepertoire en methodisch toegerust voor het werkveld ggz en verslavingszorg,30,['Den Bosch'],58,NLQF6,toetsvormen zijn afgeleide van beroepsprestaties van de ggzagoog,herstel en krachtgericht werk leven met psychische kwetsbaarheid levensloop gerichte beschrijvende diagnostiek en begeleiding en ondersteuning,0.76,0.814,2,60,2025-09-08
169,stevig staan in de jeugdzorg,je bent state of the art in kennis handelingsrepertoire en methodisch toegerust voor het werkveld jeugdzorg breed,30,['Den Bosch'],58,NLQF6,toetsvormen zijn beroepsprestaties van een jeugd en gezinsprofessional en ontwikkeld ism het jeugdwerkveld,jeugdhulp en jeugdbescherming gezinnen onder druk kinderen en met uitdagingen in de ontwikkeling jongeren in ontwikkeling preventie pedagogische context versterken,0.31,0.572,3,68,2025-09-04
170,werken in gedwongen kader,je bent state of the art toegerust in kennis handelingsrepertoire en methodiek voor het werkveld gedwongen kader pi forensisch reclassering raad,30,['Den Bosch'],58,NLQF6,leeruitkomsten zijn afgestemd op landelijk netwerk wigk,herstelgerichte benadering transmuraal herstel positionering en engagement in een complexe omgeving macht en dwang motivationele theorieen,0.93,0.626,5,33,2025-12-13
171,technologie in zorg en welzijn,een belangrijk vraagstuk voor de hedendaagse professionals is ‘hoe kunnen we mensen meer of beter laten meedoen in de maatschappij en minder afhankelijk laten zijn van professionals’ want één van de uitdagingen in zorg en welzijn is het tekort aan personeel én financiële middelen met behulp van technologie kunnen hierin stappen gemaakt worden maar zijn alle technologieën ook daadwerkelijk geschikt de tool moet tenslotte niet het doel zijn we denken na over ethische vraagstukken en hebben invloed op veranderprocessen aandacht voor positieve gezondheid in de brede betekenis,30,['Den Bosch'],58,NLQF6,,technologie zorg welzijn,0.84,0.826,1,34,2025-09-04
172,zorg dichtbij,met zorg op afstand kan je met behulp van technologie zorg juist dichter bij de mensen thuis brengen in deze praktijkgerichte module leer je hoe je een nieuwe werkwijze en technologie implementeert en hoe je zorgmedewerkers en patiënten mee kan nemen in deze verandering,15,['Breda'],60,NLQF5,je hebt ervaren wat er komt kijken bij het implementeren van een innovatie in de praktijk en hebt kennis van processen en technologieën voor het organiseren van ‘zorg op afstand’,zorg op afstand technologie implementeren zorg veranderkunde,0.44,0.786,5,50,2025-10-26
173,langer thuis in de wijk,in nederland willen we mensen zo lang mogelijk dus ook op hogere leeftijd of met een chronische aandoening of een beperking thuis te laten wonen hoe kunnen we met behulp van slimme oplossingen en samenwerkingen ervoor zorgen dat mensen prettig en veilig in hun eigen omgeving kunnen blijven,15,['Breda'],60,NLQF5,je hebt een beeld van wijkgerichte zorg en ondersteuning kent de bijbehorende stakeholders en infrastructuur en kan voorstellen doen om het systeem rondom de doelgroep te versterken en verbeteren,wijkgericht werken eigen regie zorg welzijn ouderen,0.42,0.802,4,20,2025-09-25
174,mensgericht ontwerpen,in zorg en welzijn hebben we te maken met een grote diversiteit aan zorgvragers én verleners soms blijkt dat zorgtechnologieën en diensten nog beter afgestemd kunnen worden op de doelgroep in deze module ga je een product of service herontwerpen om daarmee de toegankelijkheid en gebruikservaring te verbeteren,15,['Breda'],60,NLQF5,je beheerst een aanpak en technieken om producten en diensten te herontwerpen en daarmee mensgerichte zorg en ondersteuning te bevorderen,design thinking service design technolgie uxdesign doelgroep,0.42,0.288,5,72,2025-11-06
175,focus op jeugd,in deze module leer je hoe je methodisch kunt werken met jeugdigen en gezinnen op deze manier bereid je je voor op het werken met gezinnen die ondersteuning krijgen in de jeugdhulpverlening,15,"['Breda', 'Den Bosch']",61,NLQF5,,jeugd hulpverlening,0.5,0.408,1,73,2025-12-05
176,technologie die ècht werkt innovatie in zorg en welzijn,hoe kan technologie de beloftes waarmaken en écht zorgen voor betere en betaalbare zorg en ondersteuning effectief samenwerken tussen zorg welzijnsprofessionals ontwerpers technici en icters is daarbij heel belangrijk in deze praktijkgerichte module draag je in een multidisciplinair team vanuit je eigen vakgebied bij aan een echte innovatie,15,['Breda'],62,NLQF5,na deze module heb je een dieper inzicht in het werk van professionals uit andere sectoren die nodig zijn om de inzet van technologie in zorg en welzijn echt succesvol te maken jouw verbrede perspectief zal je helpen om vanuit jouw eigen vakgebied bij te dragen aan innovatie in zorg en welzijn,technologie smart health robotica zorg welzijn,0.64,0.82,4,73,2025-11-06
177,patronen doorbreken basis,in deze module leer je over gezonde versus verstoorde hechting en trauma welke impact dat kan hebben op gedrag emoties en ontwikkeling en hoe jij als professional de signalen van een verstoorde hechting kan herkennen en erop inspelen,15,"['Breda', 'Den Bosch']",62,NLQF5,vanuit jouw kennis over hechting trauma en ontwikkeling herken je signalen van een verstoorde hechting die verdere ontwikkeling bemoeilijken en heb je aanknopingspunten om de ander verder te kunnen helpen,hechting trauma ontwikkeling hulpverlening veiligheid,0.58,0.274,5,22,2025-09-27
178,oncologie,deze verdiepende module gaat in op uiteenlopende aspecten die je binnen de oncologische zorg we zorgen voor veel inbreng vanuit de dagelijkse praktijk door inzet van gastdocenten en excursies na deze module heb je uitgebreide inhoudelijke kennis over oncologische ziektebeelden kun je klinisch redeneren bij kanker daarnaast leer je over de psychosociale gevolgen van de ziekte en wat voor begeleiding dit vraagt van zorgvragers en hun naasten oncologie,15,['Breda'],63,NLQF5,,,0.49,0.084,4,35,2025-12-02
179,proactive nursing,ontwikkel een diepgaand begrip van klinisch redeneren in onze hboverpleegkunde module proactive nursing leer anticiperen op zorgbehoeften door doordachte analyse en gezamenlijke eenduidige klinische besluitvorming kom tot een professionele beoordeling van hoe het gaat met de zorgvrager en maak de klinische toestand inzichtelijk proactive nursing,15,['Breda'],63,NLQF5,,,0.7,0.37,2,42,2025-10-02
180,jongeren en actuele problematiek,maak impact daar waar het meest nodig is met een focus op vroegtijdige signalering en begeleiding van jongeren met actuele problematiek te denken valt aan thema’s zoals mentale gezondheid gezinsproblematiek gedrag en houdingsaspecten en huiselijk geweld jongeren en actuele problematiek,15,['Breda'],63,NLQF5,,,0.39,0.938,2,76,2025-10-20
181,management in de zorg,bij de keuzemodule management in de zorg leer je over organisatie personeels en kwaliteitsmanagement in de zorgsector ook strategisch management kwaliteitsmanagement en ondernemen in de zorg komen aan bod praktische vaardigheden zoals communiceren en presenteren worden ook behandeld evenals het bevorderen van samenwerking tussen betrokkenen afdelingen en organisaties management in de zorg,15,['Breda'],63,NLQF5,,,0.49,0.904,5,30,2025-10-31
182,werken vanuit je doelgroep,verdiep je in in een specifieke doelgroep naar keuze bijvoorbeeld mensen met een verstandelijke beperking dementerenden of kinderen je leert hoe je in samenwerking met andere disciplines zorg en ondersteuning kan organiseren vanuit het perspectief van de doelgroep,15,['Breda'],62,NLQF5,je leert wat er nodig is om als professionals met verschillende achtergronden effectief te kunnen samenwerken in het belang van de doelgroep,doelgroep zorg welzijn interdisciplinair samenwerken inclusie,0.54,0.76,4,31,2025-10-21
183,leefstijl en preventie,wanneer heb je een gezonde leefstijl hoe draagt voeding en beweging bij aan zowel mentale als fysieke gezondheid onderga zelf een leefstijlverandering en leer hoe jij als professional de leefstijl van anderen positief kunt beïnvloeden,15,['Breda'],62,NLQF5,je leert en ervaart in een interdisciplinair team wat positieve gezondheid is en hoe je impact kunt maken door anderen positief te stimuleren om hun leefstijl te veranderen en daarmee gezond te blijven,leefstijl preventie positieve gezondheid beweging gedragsverandering,0.6,0.958,1,29,2025-09-19
184,going global internationaal perspectief op je toekomst,je onderneemt een stage of internationaal project naar keuze in het buitenland of dicht bij huis leert over interculturele verschillen en interculturele communicatie en krijgt daarmee een rijkere kijk op je beroep en je ontwikkeling,15,"['Breda', 'Den Bosch']",62,NLQF5,je verbreedt je perspectief multiperspectiviteit en krijgt daarmee een rijkere kijk op je toekomstige beroep beroepsvisie en ontwikkeling,globalisering interculturele communicatie gezondheid welzijn verdieping interculturele competenties,0.81,0.768,5,51,2025-09-21
185,innoveren in zorg en welzijn,innoveren in zorg en welzijn middels inzet van technologie over de hele breedte innovatiekansen definiëren systeemservice design en gebruikservaring rondom technologieën implementatie,30,['Breda'],60,NLQF6,leiden van een technologische innovatie in zorg en welzijn praktijkgericht onderzoek persoonlijke en professionele ontwikkeling,innoveren zorgtechnologie implementeren ontwerpen gezondheid,0.43,0.062,2,35,2025-09-05
186,childcentered work,ter vervanging van minor criminal justice social work,15,['Breda'],64,NLQF6,je leert hoe je vanuit de eigen deskundigheid een bijdrage kunt leveren aan de totale ontwikkeling van een kind daarbij krijg je kennis van alle gebieden motorisch cognitief sociaal en emotioneel die van belang zijn voor de ontwikkeling van een kind en de bijhorende ketenpartners dit wordt gedaan in cocreatie met professionals vanuit justitie veiligheid zorg en welzijn,kind centraal werken vanuit perspectieven,0.63,0.494,2,27,2025-11-21
187,safety en society,ter vervanging van minor criminal justice social work,15,['Breda'],64,NLQF6,je leert te kijken naar veiligheid op sociaal fysiek en mentaal vlak en de daarbij behorende theoretische perspectieven criminologie psychologie desistance theorieën ed gespreksvaardigheden en modellen een bijdrage te leveren aan een veilige maatschappij op veschillende niveaus je leert het werkdomein van het forensisch kader kennen en daarin te acteren als professional,veiligheid welzijn ketensamenwerking justitie en zorg,0.69,0.334,5,57,2025-12-01
188,musculoskeletaal wervelkolom en sport,verdiepende minor in de fysiotherapie op het gebied van musculoskeletale problematiek waarbij er een keuze wordt gemaakt voor de tak wervelkolom of sport kom minor,30,['Breda'],65,NLQF6,,fysiotherapie muskuloskeletale problematiek,0.33,0.094,4,31,2025-10-12
189,kinderfysiotherapie,verdiepende minor in de fysiotherapie op het gebied van kinderfysiotherapie internationaal,30,['Breda'],66,NLQF6,,jeugd internationalisering,0.69,0.478,2,43,2025-10-31
