epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.9525,0.8072,2.47132,1.15699,0.43435,0.49719,0.45344,0.35971,0.77286,1.59879,1.13146,0.00017454,0.00017454,0.00017454
2,135.339,0.78036,1.6268,1.10985,0.54137,0.65057,0.64443,0.51906,0.77487,1.41186,1.13306,0.000342946,0.000342946,0.000342946
3,199.635,0.78627,1.40752,1.11415,0.65706,0.57528,0.64308,0.51219,0.77011,1.32274,1.10495,0.000504408,0.000504408,0.000504408
4,264.807,0.76966,1.29844,1.10334,0.73235,0.64773,0.73197,0.59417,0.78546,1.0542,1.11445,0.000494756,0.000494756,0.000494756
5,329.398,0.74376,1.17342,1.08297,0.78829,0.6408,0.74413,0.60414,0.76004,1.0358,1.09581,0.000484341,0.000484341,0.000484341
6,394.349,0.70202,1.08525,1.066,0.84483,0.75797,0.85031,0.7057,0.69653,0.70866,1.05401,0.000473926,0.000473926,0.000473926
7,461.092,0.69473,0.99912,1.05412,0.86263,0.77274,0.85195,0.70477,0.67842,0.68648,1.02534,0.000463511,0.000463511,0.000463511
8,526.996,0.67988,0.96675,1.05142,0.87597,0.80977,0.89344,0.7408,0.69171,0.61159,1.04301,0.000453096,0.000453096,0.000453096
9,590.999,0.65989,0.92802,1.03611,0.87811,0.81562,0.88887,0.74225,0.6688,0.64596,1.02105,0.000442682,0.000442682,0.000442682
10,654.534,0.6484,0.89047,1.03867,0.88871,0.79897,0.882,0.73136,0.69371,0.62115,1.03408,0.000432267,0.000432267,0.000432267
11,719.305,0.65563,0.87044,1.0311,0.93069,0.80937,0.90598,0.75509,0.68294,0.57309,1.04356,0.000421852,0.000421852,0.000421852
12,786.507,0.63393,0.82642,1.02452,0.8998,0.84838,0.91869,0.77549,0.64311,0.50304,1.00144,0.000411437,0.000411437,0.000411437
13,856.248,0.63201,0.78637,1.0198,0.8681,0.86493,0.90837,0.76607,0.63997,0.5021,1.00836,0.000401022,0.000401022,0.000401022
14,923.112,0.62505,0.77473,1.01668,0.95343,0.85004,0.93737,0.78594,0.63555,0.45646,0.99633,0.000390608,0.000390608,0.000390608
15,988.051,0.6161,0.74324,1.013,0.92635,0.85928,0.93583,0.79692,0.61537,0.43631,0.98071,0.000380193,0.000380193,0.000380193
16,1052.19,0.59791,0.73101,1.00601,0.92642,0.87291,0.93907,0.80023,0.62446,0.44036,0.99247,0.000369778,0.000369778,0.000369778
17,1117.31,0.5988,0.70457,1.0046,0.95038,0.86777,0.94042,0.79298,0.6257,0.42689,0.98514,0.000359363,0.000359363,0.000359363
18,1182.4,0.59349,0.67628,0.99728,0.91959,0.87675,0.93839,0.78224,0.63677,0.46491,1.01122,0.000348948,0.000348948,0.000348948
19,1248.15,0.58504,0.67412,1.00098,0.94638,0.89057,0.95218,0.80741,0.61247,0.40189,0.98278,0.000338534,0.000338534,0.000338534
20,1313.8,0.58637,0.66602,0.99935,0.94343,0.89283,0.95091,0.81472,0.60525,0.4046,0.97894,0.000328119,0.000328119,0.000328119
21,1379.05,0.58289,0.67523,0.99604,0.93863,0.88386,0.95462,0.81635,0.59734,0.40035,0.98301,0.000317704,0.000317704,0.000317704
22,1445.6,0.5701,0.64461,0.9949,0.95834,0.88711,0.9531,0.8094,0.61654,0.39675,0.98711,0.000307289,0.000307289,0.000307289
23,1510.63,0.56675,0.6465,0.99274,0.95196,0.89211,0.95375,0.81668,0.59649,0.38532,0.97906,0.000296874,0.000296874,0.000296874
24,1575.76,0.55404,0.64291,0.98564,0.9493,0.90834,0.95878,0.81828,0.58228,0.3584,0.96529,0.00028646,0.00028646,0.00028646
25,1641.26,0.56134,0.60793,0.9879,0.94893,0.8882,0.95146,0.81615,0.58869,0.37109,0.97354,0.000276045,0.000276045,0.000276045
26,1706.49,0.56655,0.60688,0.98759,0.92484,0.89837,0.9557,0.81314,0.58807,0.39092,0.97551,0.00026563,0.00026563,0.00026563
27,1770.85,0.54664,0.58233,0.97911,0.94043,0.90449,0.95414,0.81271,0.59142,0.36518,0.96995,0.000255215,0.000255215,0.000255215
28,1833.23,0.54823,0.58407,0.97902,0.94542,0.91253,0.96018,0.82327,0.58151,0.34596,0.96588,0.0002448,0.0002448,0.0002448
29,1895.44,0.54648,0.57775,0.97524,0.95377,0.91452,0.96036,0.82411,0.58303,0.35469,0.97026,0.000234386,0.000234386,0.000234386
30,1957.52,0.54462,0.56615,0.97498,0.9363,0.90812,0.96483,0.8244,0.59007,0.35616,0.97057,0.000223971,0.000223971,0.000223971
31,2019.97,0.53869,0.55958,0.973,0.9436,0.92913,0.96392,0.82384,0.58684,0.3369,0.96376,0.000213556,0.000213556,0.000213556
32,2083.78,0.52477,0.56154,0.97288,0.95156,0.91369,0.96531,0.82724,0.5757,0.33684,0.96231,0.000203141,0.000203141,0.000203141
33,2147.57,0.52856,0.54489,0.9712,0.955,0.90688,0.96378,0.82706,0.58102,0.33387,0.96216,0.000192726,0.000192726,0.000192726
34,2209.85,0.5186,0.52814,0.96817,0.96827,0.90215,0.96222,0.82771,0.57655,0.32861,0.96322,0.000182312,0.000182312,0.000182312
35,2273.05,0.51328,0.51478,0.96275,0.95501,0.91889,0.96679,0.83445,0.5704,0.32448,0.96379,0.000171897,0.000171897,0.000171897
36,2333.93,0.51542,0.51756,0.96213,0.94608,0.92444,0.9642,0.83258,0.56328,0.32374,0.95725,0.000161482,0.000161482,0.000161482
37,2405.76,0.49995,0.514,0.95503,0.9592,0.91018,0.96668,0.83264,0.57548,0.32173,0.95368,0.000151067,0.000151067,0.000151067
38,2471.03,0.50813,0.5032,0.96478,0.95646,0.93085,0.96779,0.83629,0.5605,0.30698,0.95113,0.000140652,0.000140652,0.000140652
39,2537.21,0.49322,0.49369,0.95136,0.95217,0.92333,0.96974,0.83676,0.5619,0.31519,0.95622,0.000130238,0.000130238,0.000130238
40,2601.13,0.48963,0.48164,0.9487,0.94106,0.92654,0.96828,0.84176,0.55414,0.30946,0.94971,0.000119823,0.000119823,0.000119823
41,2680.41,0.49808,0.29988,0.92492,0.96156,0.93018,0.96874,0.83456,0.56963,0.31045,0.96131,0.000109408,0.000109408,0.000109408
42,2745.47,0.49167,0.29653,0.92114,0.96387,0.91744,0.97071,0.83765,0.56851,0.31689,0.95898,9.89932e-05,9.89932e-05,9.89932e-05
43,2810.62,0.48343,0.28947,0.91948,0.95852,0.91967,0.97084,0.83946,0.57583,0.30783,0.96485,8.85784e-05,8.85784e-05,8.85784e-05
44,2877.53,0.4756,0.27753,0.91366,0.9608,0.93092,0.97026,0.84298,0.5603,0.29788,0.95757,7.81636e-05,7.81636e-05,7.81636e-05
45,2942.83,0.46565,0.26712,0.90466,0.95179,0.91854,0.9657,0.83249,0.56757,0.31429,0.96034,6.77488e-05,6.77488e-05,6.77488e-05
46,3008.66,0.46217,0.26225,0.9081,0.96572,0.91584,0.96758,0.83799,0.55928,0.29989,0.95787,5.7334e-05,5.7334e-05,5.7334e-05
47,3073.91,0.45384,0.25965,0.90274,0.95385,0.92157,0.96885,0.84109,0.55991,0.29729,0.95484,4.69192e-05,4.69192e-05,4.69192e-05
48,3138.78,0.45583,0.25187,0.90078,0.95485,0.9227,0.9682,0.8417,0.55566,0.29792,0.95799,3.65044e-05,3.65044e-05,3.65044e-05
49,3203.8,0.44569,0.2457,0.89776,0.96058,0.92445,0.96582,0.83811,0.55873,0.29735,0.95633,2.60896e-05,2.60896e-05,2.60896e-05
50,3269.71,0.44015,0.24302,0.89897,0.95009,0.9318,0.96577,0.83765,0.55895,0.29197,0.9568,1.56748e-05,1.56748e-05,1.56748e-05
