run,condition,scenario,trace_path,battery_csv_path,energy_total_mj,battery_energy_valid,battery_current_nonzero_samples,battery_current_nonzero_ratio,avg_current_ma,avg_voltage_v,duration_s,sample_count,avg_power_mw,avg_cpu_freq_mhz,cpu_big_core_pct,cpu_freq_residency_ghz_s,cpu_energy_proxy_score,cpu_energy_proxy_per_s,peak_memory_rss_kb,frame_janks,energy_method,parse_error
10,ssr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_10_ssr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_10_ssr_massive.battery.csv,5743.71,True,16,1.0,189.0,3.841,7.9,16,725.9,,,,,,,,adb_dumpsys_battery_polling,
11,ssr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_11_ssr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_11_ssr_massive.battery.csv,5780.63,True,15,1.0,198.0,3.845,7.6,15,761.3,,,,,,,,adb_dumpsys_battery_polling,
12,csr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_12_csr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_12_csr_massive.battery.csv,7695.05,True,17,1.0,241.18,3.838,8.3,17,926.9,,,,,,,,adb_dumpsys_battery_polling,
13,ssr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_13_ssr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_13_ssr_dynamic.battery.csv,9637.8,True,15,1.0,336.0,3.844,7.5,15,1291.6,,,,,,,,adb_dumpsys_battery_polling,
14,csr,static,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_14_csr_static.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_14_csr_static.battery.csv,8423.48,True,16,1.0,277.0,3.843,7.9,16,1064.5,,,,,,,,adb_dumpsys_battery_polling,
15,csr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_15_csr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_15_csr_massive.battery.csv,6044.61,True,16,1.0,189.0,3.844,8.3,16,726.5,,,,,,,,adb_dumpsys_battery_polling,
16,ssr,massive,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_16_ssr_massive.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_16_ssr_massive.battery.csv,5237.33,True,15,1.0,186.0,3.843,7.3,15,714.8,,,,,,,,adb_dumpsys_battery_polling,
17,ssr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_17_ssr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_17_ssr_dynamic.battery.csv,6298.68,True,15,1.0,229.87,3.84,7.2,15,869.9,,,,,,,,adb_dumpsys_battery_polling,
18,csr,static,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_18_csr_static.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_18_csr_static.battery.csv,9016.94,True,17,1.0,278.88,3.835,8.4,17,1076.4,,,,,,,,adb_dumpsys_battery_polling,
19,csr,dynamic,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_19_csr_dynamic.perfetto-trace,/Users/danielvginneken/Desktop/Research_Paper/data/runs/20260401_143839/raw/run_19_csr_dynamic.battery.csv,7660.49,True,17,1.0,220.0,3.834,9.1,17,843.5,,,,,,,,adb_dumpsys_battery_polling,
