timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775048189.955,-186000,3843000,256,3015000,dumpsys_battery
1775048190.596,-186000,3843000,256,3015000,dumpsys_battery
1775048191.027,-186000,3843000,256,3015000,dumpsys_battery
1775048191.579,-186000,3843000,256,3015000,dumpsys_battery
1775048192.154,-186000,3843000,256,3015000,dumpsys_battery
1775048192.546,-186000,3843000,256,3015000,dumpsys_battery
1775048192.935,-186000,3843000,256,3015000,dumpsys_battery
1775048193.418,-186000,3843000,256,3015000,dumpsys_battery
1775048193.929,-186000,3843000,256,3015000,dumpsys_battery
1775048194.518,-186000,3843000,256,3015000,dumpsys_battery
1775048195.061,-186000,3843000,256,3015000,dumpsys_battery
1775048195.642,-186000,3843000,256,3015000,dumpsys_battery
1775048196.161,-186000,3843000,256,3015000,dumpsys_battery
1775048196.664,-186000,3843000,256,3015000,dumpsys_battery
1775048197.282,-186000,3843000,256,3015000,dumpsys_battery
