timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775047186.387,-198000,3849000,251,3110000,dumpsys_battery
1775047186.968,-198000,3849000,251,3110000,dumpsys_battery
1775047187.737,-198000,3849000,251,3110000,dumpsys_battery
1775047188.408,-198000,3849000,251,3110000,dumpsys_battery
1775047189.064,-198000,3849000,251,3110000,dumpsys_battery
1775047189.756,-198000,3849000,251,3110000,dumpsys_battery
1775047190.398,-198000,3849000,251,3110000,dumpsys_battery
1775047190.908,-198000,3849000,251,3110000,dumpsys_battery
1775047191.492,-198000,3849000,251,3110000,dumpsys_battery
1775047192.113,-198000,3849000,251,3110000,dumpsys_battery
1775047192.845,-198000,3849000,251,3110000,dumpsys_battery
1775047193.509,-198000,3849000,251,3110000,dumpsys_battery
1775047194.308,-198000,3849000,251,3110000,dumpsys_battery
1775047194.891,-198000,3849000,251,3110000,dumpsys_battery
1775047195.503,-198000,3849000,251,3110000,dumpsys_battery
1775047196.061,-198000,3849000,251,3110000,dumpsys_battery
