timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775047387.318,-202000,3851000,251,3095000,dumpsys_battery
1775047387.964,-202000,3851000,251,3095000,dumpsys_battery
1775047388.437,-202000,3851000,251,3095000,dumpsys_battery
1775047388.955,-202000,3851000,251,3095000,dumpsys_battery
1775047389.372,-1200000,3731000,252,3090000,dumpsys_battery
1775047389.821,-1200000,3731000,252,3090000,dumpsys_battery
1775047390.324,-1200000,3731000,252,3090000,dumpsys_battery
1775047390.792,-1200000,3731000,252,3090000,dumpsys_battery
1775047391.421,-1200000,3731000,252,3090000,dumpsys_battery
1775047392.097,-1200000,3731000,252,3090000,dumpsys_battery
1775047392.648,-1200000,3731000,252,3090000,dumpsys_battery
1775047393.152,-1200000,3731000,252,3090000,dumpsys_battery
1775047393.588,-1200000,3731000,252,3090000,dumpsys_battery
1775047394.043,-1200000,3731000,252,3090000,dumpsys_battery
1775047394.580,-1200000,3731000,252,3090000,dumpsys_battery
1775047395.142,-1200000,3731000,252,3090000,dumpsys_battery
1775047395.643,-1200000,3731000,252,3090000,dumpsys_battery
