timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775050969.204,-189000,3812000,261,2745000,dumpsys_battery
1775050969.825,-189000,3812000,261,2745000,dumpsys_battery
1775050970.344,-189000,3812000,261,2745000,dumpsys_battery
1775050970.965,-189000,3812000,261,2745000,dumpsys_battery
1775050971.365,-189000,3812000,261,2745000,dumpsys_battery
1775050971.748,-189000,3812000,261,2745000,dumpsys_battery
1775050972.299,-189000,3812000,261,2745000,dumpsys_battery
1775050972.758,-189000,3812000,261,2745000,dumpsys_battery
1775050973.348,-189000,3812000,261,2745000,dumpsys_battery
1775050973.876,-189000,3812000,261,2745000,dumpsys_battery
1775050974.511,-189000,3812000,261,2745000,dumpsys_battery
1775050975.049,-189000,3812000,261,2745000,dumpsys_battery
1775050975.574,-189000,3812000,261,2745000,dumpsys_battery
1775050976.008,-189000,3812000,261,2745000,dumpsys_battery
1775050976.540,-189000,3812000,261,2745000,dumpsys_battery
1775050977.227,-189000,3812000,261,2745000,dumpsys_battery
