timestamp_s,current_ua,voltage_uv,temp_deci_c,charge_counter_uah,source
1775047652.427,-187000,3848000,253,3070000,dumpsys_battery
1775047653.078,-187000,3848000,253,3070000,dumpsys_battery
1775047653.727,-187000,3848000,253,3070000,dumpsys_battery
1775047654.423,-187000,3848000,253,3070000,dumpsys_battery
1775047654.899,-187000,3848000,253,3070000,dumpsys_battery
1775047655.817,-187000,3848000,253,3070000,dumpsys_battery
1775047656.578,-187000,3848000,253,3070000,dumpsys_battery
1775047657.081,-187000,3848000,253,3070000,dumpsys_battery
1775047657.630,-187000,3848000,253,3070000,dumpsys_battery
1775047658.099,-187000,3848000,253,3070000,dumpsys_battery
1775047658.577,-187000,3848000,253,3070000,dumpsys_battery
1775047659.113,-187000,3848000,253,3070000,dumpsys_battery
1775047659.642,-187000,3848000,253,3070000,dumpsys_battery
1775047660.122,-252000,3834000,253,3065000,dumpsys_battery
1775047660.639,-252000,3834000,253,3065000,dumpsys_battery
1775047661.219,-252000,3834000,253,3065000,dumpsys_battery
1775047661.873,-252000,3834000,253,3065000,dumpsys_battery
1775047662.305,-252000,3834000,253,3065000,dumpsys_battery
1775047662.789,-252000,3834000,253,3065000,dumpsys_battery
1775047663.284,-252000,3834000,253,3065000,dumpsys_battery
1775047663.867,-252000,3834000,253,3065000,dumpsys_battery
1775047664.514,-252000,3834000,253,3065000,dumpsys_battery
