run,condition,scenario,temp_c,timestamp
1,csr,dynamic,25.1,2026-04-01T12:39:40Z
2,ssr,static,25.1,2026-04-01T12:40:49Z
3,csr,massive,25.1,2026-04-01T12:41:55Z
4,csr,massive,25.1,2026-04-01T12:43:01Z
5,ssr,static,25.2,2026-04-01T12:44:08Z
6,ssr,dynamic,25.2,2026-04-01T12:45:13Z
7,csr,dynamic,25.2,2026-04-01T12:46:19Z
8,csr,static,25.3,2026-04-01T12:47:26Z
9,csr,dynamic,25.3,2026-04-01T12:48:39Z
10,ssr,massive,25.3,2026-04-01T12:49:48Z
11,ssr,massive,25.4,2026-04-01T12:50:53Z
12,csr,massive,25.5,2026-04-01T12:51:59Z
13,ssr,dynamic,25.5,2026-04-01T12:53:05Z
14,csr,static,25.5,2026-04-01T12:54:11Z
15,csr,massive,25.6,2026-04-01T12:55:17Z
16,ssr,massive,25.6,2026-04-01T12:56:23Z
17,ssr,dynamic,25.6,2026-04-01T12:57:29Z
18,csr,static,25.6,2026-04-01T12:58:34Z
19,csr,dynamic,25.7,2026-04-01T12:59:41Z
20,ssr,static,25.7,2026-04-01T13:00:48Z
21,csr,massive,25.7,2026-04-01T13:01:53Z
22,csr,massive,25.7,2026-04-01T13:03:00Z
23,ssr,static,25.7,2026-04-01T13:04:07Z
24,ssr,massive,25.8,2026-04-01T13:05:12Z
25,ssr,dynamic,25.8,2026-04-01T13:06:17Z
26,ssr,static,25.8,2026-04-01T13:07:23Z
27,ssr,static,25.8,2026-04-01T13:08:28Z
28,csr,massive,25.8,2026-04-01T13:09:34Z
29,ssr,massive,25.8,2026-04-01T13:10:40Z
30,csr,static,25.9,2026-04-01T13:11:47Z
31,csr,static,25.9,2026-04-01T13:12:54Z
32,csr,static,25.9,2026-04-01T13:14:00Z
33,csr,static,25.9,2026-04-01T13:15:07Z
34,ssr,massive,25.9,2026-04-01T13:16:13Z
35,csr,dynamic,25.9,2026-04-01T13:17:19Z
36,ssr,massive,25.9,2026-04-01T13:18:25Z
37,csr,massive,26.0,2026-04-01T13:19:31Z
38,csr,massive,26.0,2026-04-01T13:20:37Z
39,csr,dynamic,26.0,2026-04-01T13:21:44Z
40,ssr,dynamic,26.0,2026-04-01T13:22:50Z
41,csr,dynamic,26.0,2026-04-01T13:23:56Z
42,ssr,dynamic,26.0,2026-04-01T13:25:04Z
43,ssr,massive,26.0,2026-04-01T13:26:09Z
44,csr,static,26.1,2026-04-01T13:27:15Z
45,ssr,static,26.1,2026-04-01T13:28:22Z
46,csr,static,26.1,2026-04-01T13:29:27Z
47,csr,dynamic,26.1,2026-04-01T13:30:34Z
48,ssr,massive,26.1,2026-04-01T13:31:41Z
49,ssr,dynamic,26.1,2026-04-01T13:32:47Z
50,csr,dynamic,26.1,2026-04-01T13:33:53Z
51,ssr,static,26.1,2026-04-01T13:34:59Z
52,ssr,dynamic,26.1,2026-04-01T13:36:04Z
53,csr,static,26.1,2026-04-01T13:37:10Z
54,ssr,massive,26.1,2026-04-01T13:38:17Z
55,csr,dynamic,26.1,2026-04-01T13:39:22Z
56,ssr,static,26.1,2026-04-01T13:40:29Z
57,csr,massive,26.1,2026-04-01T13:41:36Z
58,ssr,static,26.1,2026-04-01T13:42:43Z
59,ssr,dynamic,26.1,2026-04-01T13:43:49Z
60,ssr,dynamic,26.1,2026-04-01T13:44:56Z
