id,name,description,studycredit,location,contact_id,level,learningoutcomes,module_tags,interests_match_score,popularity_score,estimated_difficulty,available_spots,start_date
159,kennismak psychologi,modul ler gedrag jezelf ander kunt begrijp beinvloed maakt kennis basistheorie psychologie bod kom onderwerp mak cognitiev biologisch ontwikkelingspsychologie,15,['Den Bosch'],58,NLQF5,a beantwoordt vrag meerkeuz kennistoet waarin lat zien basis psychologie kunt reproducer begrijpt lat zien gedrag individuen groep social omgev kunt analyser hand casuistiek b houdt kort interview medestudent waarin lat zien mbv literatur ui psychologie vrag kunt stell term alledag gedrag bescherm risicofactor kaart breng communicatievaard bezit interiew houd volwass inclusief professionel open afsluit,brein gedragsbeinvloed ontwikkelingspsychologi gespreksvo ontwikkelingsfasen,0.54,0.638,1,79,2025-12-24
160,learn work abroad,student kiez binn stam opleid verpleegkund sted vaker stag buitenland waarbij beroepsprestaties grag international stagecontext will behal binn opleid verpleegkund nodig uren stag lop big registratie behal stag maakt mogelijk naast verplicht stag uren extra stag ervar waarbij focus ruimt person ontwikkel international context student social work geld international stagecontext fysiotherapie,15,['Den Bosch'],58,NLQF5,student toont professionel gedrag conform beroepscod laagcomplex zorgvrager collegas zorgset,international person ontwikkel verpleegkund,0.92,0.344,5,56,2025-12-20
161,proactiev zorgplann,jeroen bosch ziekenhuis grag sam opleid verpleegkund modul ontwikkel waarin student mogelijk krijg verdiep ziekenhuisset jbz stat open interdisciplinair instek kiez zodat modul bijvoorbeeld aantrek opleid denk social work proactiev zorgplann verdiep thema waarbij kans ligg interdisciplinair vlieg,15,['Den Bosch'],59,NLQF5,student past pro actiev zorgplann toe binn proces klinisch redener casuistiek zorgvrager multidisciplinair ziekenhuisset,proactiev zorgplann cocreatie ziekenhuis,0.78,0.434,5,55,2025-09-23
162,rouw verlies,modul stil gestan rouw verlies vanuit diver invalshoek waaronder palliatiev zorg themas zoal oncologie plat krijg werkveld verpleegkund vraagt keuzemodul oncologie interdisciplinair uitgelicht waarbij duidelijk verschill disciplines sam bijdrag lever palliatiev benaderingswijz vanuit perspectief verlies algemen zin scheiding ouder vlucht heimat overlijd licham functioner vriendschappenrelaties gericht volwassen jar waarin rouw betekenis ontwikkel vanuit werkveld verpleegkund ligt behoeft modul waarin aandacht zorg rondom oncologie,30,['Den Bosch'],58,NLQF6,student regisseert voert del zelfstand samenwerkingsverband palliatiev proces hoogmiddencomplex zorgvrager zorgset basis proces palliatief redener student begrijpt analyseert past complex concept benader rouw verlies toe verschill context individueel groepsniveau interventies ontwerp implementer veerkracht welzijn individuen bevorder tijden rouwproces student reflecteert kritisch eig waard houding relatie begeleid ander rouw verlies,rouw verlies palliatiev zorg redener trauma culturel diversiteit,0.69,0.908,1,54,2025-10-25
163,acuut complex zorg,modul student verdiep acut complex zorg binn verpleegkund vakgebied,30,['Den Bosch'],58,NLQF6,student regisseert voert del zelfstand samenwerkingsverband verpleegkund proces hoogmiddencomplex zorgvrager actue complex zorgset basis beroepscod verpleegkund verzorg geldend visie verpleg proces klinisch redener,acut zorg complexiteit ziekenhuis revalidatie,0.4,0.356,5,38,2025-11-19
164,kraam kind jeugd,modul student verdiep kram kind jeugdzorg binn verpleegkund vakgebied,30,['Den Bosch'],58,NLQF6,student regisseert voert del zelfstand samenwerkingsverband verpleegkund proces hoogmiddencomplex zorgvrager kram kind jeugd zorgset basis beroepscod verpleegkund verzorg geldend visie verpleg proces klinisch redener,jeugdzorg neonatologi verloskund kindzorg,0.4,0.986,5,39,2025-12-04
165,profiel specifiek modul welzijn samenlev jeugd zorg,profiel specifiek modul welzijn samenlev jeugd zorg,15,"['Breda', 'Den Bosch']",58,NLQF5,,jeugdzorg geestelijk gezondheidzorg rechtvaard democratisch gemeenschapp,0.34,0.34,5,76,2025-11-14
166,happi citi happi peopl design lab,focus grot vraagstuk sdg gestuurd concret plek onz regio vormt agenda gezond duurzam samenlev veilig omgev fysiek toegerust diver samengesteld bevolk,15,['Den Bosch'],58,NLQF5,,vital gemeenschapp duurzam gebouwd omgev innovatief creatief collectief sdg gestuurd aandacht positiev gezond bred betekenis,0.86,0.154,3,37,2025-12-27
167,build sustain vital commun,bedenkt ontwerpt sam relevant stakeholder wijk buurt innovatiev oplossingsricht complex vraagstuk rond won veilig lev gezond lev bestaansvoorwaard ecologisch footprint vanuit beleid bestur welzijn icm built environment,30,['Den Bosch'],58,NLQF6,,vital gemeenschapp duurzam gebouwd omgev innovatief creatief collectief sdg gestuurd,0.69,0.596,4,66,2025-09-16
168,ggz agoog,bent stat the art kennis handelingsrepertoir methodisch toegerust werkveld ggz verslavingszorg,30,['Den Bosch'],58,NLQF6,toetsvorm afgeleid beroepsprestaties ggzagog,herstel krachtgericht werk lev psychisch kwetsbar levenslop gericht beschrijv diagnostiek begeleid ondersteun,0.76,0.814,2,60,2025-09-08
